source,target,weight
Montana State,Whitman,8
Montana State,Oregon State,10
Montana State,Oregon,9
Montana State,Denver,10
Montana State,Northern Arizona,13
Montana State,Chico State,7
Montana State,California-Irvine,13
Montana State,Cal Poly-SLO,13
Montana State,San Diego State,12
Brigham Young,Montana State,3
Brigham Young,Idaho,11
Brigham Young,Montana,11
Brigham Young,Utah State,13
Brigham Young,Boise State,9
Brigham Young,Utah,6
Brigham Young,Washington State,6
Brigham Young,Gonzaga,13
Brigham Young,Whitman,13
Brigham Young,Stanford,13
Brigham Young,British Columbia,13
Brigham Young,Victoria,13
Brigham Young,Washington,8
Brigham Young,Cal Poly-SLO,13
Brigham Young,Oregon State,13
Brigham Young,Western Washington,13
Brigham Young,Portland,8
Brigham Young,Northern Arizona,6
Brigham Young,Denver,7
Brigham Young,Texas,13
Brigham Young,South Florida,13
Brigham Young,Wisconsin,14
Brigham Young,LSU,13
Brigham Young,Northwestern,11
Brigham Young,Pittsburgh,12
Brigham Young,Cincinnati,13
Brigham Young,Carleton College-CUT,13
Brigham Young,Arizona State,11
Brigham Young,Grand Canyon,8
Brigham Young,University of New Mexico,3
Brigham Young,The University of Texas at El Paso,11
Brigham Young,Colorado State,2
Brigham Young,UCLA,13
Brigham Young,Santa Clara,13
Brigham Young,Colorado State University,13
Brigham Young,California-Santa Barbara,13
Brigham Young,Ohio State,10
Brigham Young,California,10
Brigham Young,Oregon,15
Montana,Utah State,9
Montana,Montana State,7
Montana,Brigham Young,13
Montana,Boise State,11
Montana,Idaho,15
Montana,British Columbia,11
Montana,Washington,11
Montana,Utah,8
Montana,Victoria,8
Montana,Washington State,10
Montana,Portland,7
Montana,Puget Sound,11
Idaho,Brigham Young,9
Idaho,Utah State,15
Idaho,Montana State,9
Idaho,Utah,7
Idaho,Gonzaga,10
Idaho,Boise State,15
Idaho,Montana,8
Idaho,Victoria,5
Idaho,Washington,13
Idaho,British Columbia,4
Idaho,Portland,5
Idaho,Washington State,6
Idaho,Lewis & Clark,7
Idaho,Western Washington,13
Idaho,Northern Arizona,14
Idaho,Denver,7
Idaho,Central Washington,8
Idaho,Portland State,12
Boise State,Brigham Young,13
Boise State,Washington State,8
Boise State,Gonzaga,12
Boise State,Utah,8
Boise State,Montana,9
Boise State,Montana State,9
Boise State,Idaho,14
Boise State,Utah State,9
Boise State,Whitman,3
Boise State,Oregon,1
Boise State,Oregon State,4
Boise State,British Columbia,0
Boise State,Denver,1
Boise State,Northern Arizona,0
Boise State,Western Washington University,7
Boise State,Portland State,15
Boise State,Whitworth,7
Boise State,Central Washington,10
Boise State,Cal State-Long Beach,11
Boise State,Cal State-Fullerton,13
Boise State,Miami,13
Boise State,Cal Poly-Pomona,6
Boise State,Cal Poly-SLO,5
Washington State,Gonzaga,11
Washington State,Boise State,11
Washington State,Brigham Young,11
Washington State,Utah,4
Washington State,Montana State,3
Washington State,Pacific Lutheran,14
Washington State,Washington,12
Washington State,Whitworth,11
Washington State,Portland,9
Washington State,Montana,13
Washington State,Idaho,15
Washington State,Oregon,4
Washington State,Nevada-Reno,11
Washington State,Puget Sound,5
